weblink (doi, website)	Paper_name / source	City	Infra-urban territorial unit	Category	Sub-category	Year	Year (end)	Indicator	Value	Unit	Per capita / total	OBS
10.1073/pnas.1504315112	Energy and material flows of megacities	Mumbai		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	30.02	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Kolkata		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	291.34	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Karachi		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	636.99	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	93.95	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	143.31	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	95.53	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	227.89	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	13.61	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	120.05	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	144.39	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	230.12	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	187.43	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shanghai		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	126.11	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shanghai		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	236.64	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shanghai		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	82.32	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Beijing		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	122.16	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Beijing		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	191.40	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Beijing		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	53.69	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	11.63	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	37.84	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Paris		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	6.64	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Paris		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	44.32	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Moscow		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	10.79	%		calculate
10.1073/pnas.1504315112	Energy and material flows of megacities	Moscow		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	169.71	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	New York		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	3.36	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Los Angeles		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	2.64	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Los Angeles		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	39.43	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mexico City		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	3.02	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mexico City		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	65.78	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Sao Paulo		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	10.85	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Sao Paulo		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	161.58	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Buenos Aires		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	11.75	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Buenos Aires		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	109.33	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Cairo		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	24.16	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Tehran		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	14.75	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Tehran		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	-36.36	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	53.16	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	653.44	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Manila		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	19.36	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Manila		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	114.68	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	16.10	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	138.66	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	20.96	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Mumbai		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	4.18	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mumbai		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	122.84	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Kolkata		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	6.87	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Kolkata		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	95.76	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Karachi		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	29.17	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Karachi		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	14.29	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	47.03	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	143.70	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Seoul		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	2.41	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Tokyo		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	6.59	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Osaka		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	0.52	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	44.46	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	264.15	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	27.93	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	243.51	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Shanghai		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	40.71	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Shanghai		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	189.48	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Beijing		Urban Characteristics	demography	2001	2011	Population growth rate 2001-11	45.74	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Beijing		Urban Characteristics	economy	2001	2011	10-year growth rate in GDP 2001 to 2011	244.37	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	-36.67	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mexico City		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	5.53	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Buenos Aires		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	0.09	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Cairo		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	62.37	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	50.25	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	12.93	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	86.32	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mumbai		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	53.35	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Kolkata		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	0.47	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Karachi		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	300.00	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	80.95	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Tokyo		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	-17.59	%		scaled by population. calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	19.08	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Waste	final disposal	2001	2011	10-year growth rate in solid waste disposal 2001-2011	31.46	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	10.96	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Sao Paulo		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	21.51	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Rio de Janeiro		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	37.39	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Cairo		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	122.41	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Tehran		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	14.75	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	28.31	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Manila		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	46.74	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	28.88	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	28.79	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Karachi		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	98.41	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Dhaka		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	171.79	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Shenzhen		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	51.80	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Guangzhou		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	-12.02	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Beijing		Water	consumption	2001	2011	10-year growth rate in water consumption 2001-2011	-7.46	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Rio de Janeiro		Energy	mobile	2000	2010	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	53.46	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Rio de Janeiro		Energy	total	2000	2010	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	46.37	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Karachi		Energy	stationary	2003	2010	10-year growth rate in Total Electricity Consumption 2001-2011	72.94	%		calculated. 7-yr growth rate
10.1073/pnas.1504315112	Energy and material flows of megacities	Rio de Janeiro		Urban Characteristics	demography	2000	2010	Population growth rate 2001-11	9.57	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Rio de Janeiro		Urban Characteristics	economy	2001	2010	10-year growth rate in GDP 2001 to 2011	88.19	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Urban Characteristics	economy	2001	2010	10-year growth rate in GDP 2001 to 2011	187.68	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Paris		Waste	final disposal	2002	2010	10-year growth rate in solid waste disposal 2001-2011	37.51	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Moscow		Water	consumption	2002	2010	10-year growth rate in water consumption 2001-2011	-46.13	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Paris		Energy	stationary	2002	2009	10-year growth rate in Total Electricity Consumption 2001-2011	3.17	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Electricity consumption - grid	41590.00	GWh	total	from the grid
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Electricity consumption - grid	42843.37	GWh	total	from the grid
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Electricity consumption - grid	39945.74	GWh	total	from the grid
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Electrical line losses	3862.75	GWh	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Electrical line losses	3426.25	GWh	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Electrical line losses	3466.26	GWh	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Total electricity consumption	41590.00	GWh	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Total electricity consumption	42843.37	GWh	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Total electricity consumption	39945.74	GWh	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Total electricity consumption	149724.00	TJ	total	calculated - total consumption [GWh] *3.6
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Total electricity consumption	154236.13	TJ	total	calculated - total consumption [GWh] *3.6
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Total electricity consumption	143804.67	TJ	total	calculated - total consumption [GWh] *3.6
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Natural gas	320814.00	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Natural gas	277020.36	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Natural gas	230094.00	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Fuel oil	142888.40	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Fuel oil	128401.56	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Fuel oil	156548.90	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Coal	3.24	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Biomass/biofuels	361.44	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001		Total energy consumption (heating + ind. fuels)	463702.40	TJ	total	calculated - sum of all the stationary energy consumption
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2006		Total energy consumption (heating + ind. fuels)	405786.60	TJ	total	calculated - sum of all the stationary energy consumption
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Total energy consumption (heating + ind. fuels)	386642.90	TJ	total	calculated - sum of all the stationary energy consumption
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2011		Total energy consumption (res & comm heating)	142284.59	TJ	total	calculated - sum of all the stationary energy consumption
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001		Gasoline	112661.55	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2006		Gasoline	97568.14	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2011		Gasoline	73729.17	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001		Diesel	85101.94	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2006		Diesel	106773.87	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2011		Diesel	109226.49	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001		Jet fuel	61650.00	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2006		Jet fuel	1770.60	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2011		Jet fuel	1556.20	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001		Marine fuel	4500.00	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2006		Marine fuel	9450.00	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2011		Marine fuel	1771.20	TJ	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001		Total energy consumption - transportation excluding marine/jet fuel	197763.49	TJ	total	calculated - sum of mobile energy consumption excluding marine/jet
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2006		Total energy consumption - transportation excluding marine/jet fuel	204342.01	TJ	total	calculated - sum of mobile energy consumption excluding marine/jet
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2011		Total energy consumption - transportation excluding marine/jet fuel	182955.66	TJ	total	calculated - sum of mobile energy consumption excluding marine/jet
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001		Total energy consumption - stationary + mobile	811189.89	TJ	total	calculated - sum of all the stationary and mobile energy consumption excluding marine/jet
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2006		Total energy consumption - stationary + mobile	764364.74	TJ	total	calculated - sum of all the stationary and mobile energy consumption excluding marine/jet
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2011		Total energy consumption - stationary + mobile	713403.23	TJ	total	calculated - sum of all the stationary and mobile energy consumption excluding marine/jet
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	electricity sources	2001		Coal	40.00	%	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	electricity sources	2006		Coal	44.80	%	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	electricity sources	2011		Coal	37.30	%	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	electricity sources	2001		Oil	1.10	%	total	
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	electricity sources	2006		Oil	1.20	%	total	
